COUNT,ATTRIIBUTE,DESCRIPTION,CHARACTER TYPE
1,age,Age in years,int
2,sex,Female or male,bin
3,cp,"Chest pain type (typical angina, atypical angina, non-angina, or asymptomatic angina)",cat
4,trestbps,Resting blood pressure (mm Hg),con
5,chol,Serum cholesterol (mg/dl),con
6,fbs,Fasting blood sugar (< 120 mg/dl or > 120 mg/dl),bin
7,restecg,"Resting electrocardiography results (normal, ST-T wave abnormality, or left ventricular hypertrophy)",cat
8,thalach,Max. heart rate achieved during thalium stress test,con
9,exang,Exercise induced angina (yes or no),bin
10,oldpeak,ST depression induced by exercise relative to rest,con
11,slope,"Slope of peak exercise ST segment (upsloping, flat, or downsloping)",cat
12,ca,Number of major vessels colored by fluoroscopy,int
13,thal,"Thalium stress test result (normal, fixed defect, or reversible defect)",cat
14,num,"Heart disease status: number of major vessels with >50% narrowing (0,1,2,3, or 4)",int